Moderate to heavy drinker,Occasional drinker,Never drinker
15.95,12.32,2.7
11.82,8.32,3.72
5.11,9.72,7.76
8.08,11.34,3.79
11.65,22.15,15.35
6.78,14.85,35.19
19.77,17.58,3.19
7.03,2.17,6.95
9.04,1.46,26.51
0.69,13.85,11.03
9.16,28.2,1.22
9.13,31.9,15.7
6.9,23.61,11.58
14.84,34,1.06
7.58,4.26,17.5
7.48,7.51,18.83
8.97,1.06,12.07
8.36,7.73,13.35
25.25,35.19,12.81
20.55,14.67,20.32
12.17,1.93,9.98
6.62,6.43,14.67
9.45,13.35,27.45
14.06,17.5,4.38
4.86,2.87,6.16
12.14,1.38,10.66
16.32,21.03,27.99
5.06,2.45,27.21
2.32,5.16,4.84
17.79,2.09,10.97
30.83,13.18,11.17
17.28,1.22,12
5.57,9.29,18.42
9.56,15.93,23.64
6.83,24.87,7.48
9.66,2.86,26.98
2.2,9.28,19.79
6.02,20.32,14.06
2.37,7.48,12.77
12.32,4.39,28.03
34.37,3.61,29.5
15.95,1.79,18.56
9.18,4.6,13.85
6.08,7.92,17.35
6.78,18.59,9.72
10.39,28.03,31.85
26.98,8.15,30.52
27.99,20.17,8.55
10.34,10.97,31.11
10.97,6,10
11.58,13,10.34
15.35,28.99,12
10.26,7.6,13.39
26.51,9.51,9.45
26.22,3.9,4.91
2.78,6.12,11.16
7.25,12.41,0.08
7.05,29.95,5.34
5.05,3.64,17.75
11.16,24.72,12.81
7.12,9.05,7.91
6.62,24.08,20.32
10.98,4.34,20.81
16.69,11.91,6.08
8.91,4.51,20.55
7.57,4.62,6.75
3.23,1.46,14.06
3.84,8.81,6.8
6.8,3.23,4.51
4.51,6.97,30.83
5.18,5.83,6.66
8.55,16.32,7.33
8.64,10.02,9.66
9.98,8.09,6.02
16.31,20.84,13.86
26.22,8.93,7.82
31.11,34.27,1.22
3.19,4.32,8.37
29.5,11.78,14.09
10,5.61,4.6
12.06,9.97,7.6
6.95,5.65,1.89
26.51,5.31,11.91
11.03,1.66,5.31
23.91,4.17,7.25
1.22,4.57,8.35
13.5,17.5,5.65
1.36,32.09,12.14
10.01,20.81,2.78
10.66,12.77,2.87
4.05,28.03,12.19
8.41,12.07,8.77
7.76,13.48,9.18
16.32,17.61,12.32
5.56,31.85,6.78
4.91,29.5,16.25
12.81,52.92,3.48
15.7,13.39,20.84
11.13,30.52,11.96
5.93,9.66,10.86
2.55,5.43,10.86
2.35,20.32,12.61
7.33,18.56,38.8
22.49,9.98,9.69
22.02,9.45,13.59
7.03,6.83,9.28
10.86,12,4.51
6.2,11.48,34.27
17.75,14.67,8.58
35.19,1.5,8.19
9.72,18.59,10.03
4.04,17.35,25.39
5.76,27.21,22.92
3.72,27.45,24.08
6.75,18.42,3.23
4.77,4.38,3.38
7.12,6.16,5.41
1.36,4.84,2.45
6.66,3.39,8.92
10.86,8.32,4.25
5.34,21.32,1.36
,7.92,16.69
,14.09,7.03
,10.47,10.39
,25.39,1.81
,12.41,6.34
,28.99,15.92
,16.38,5.88
,18.88,7.54
,5.57,10.62
,13.03,3.55
,10.66,13.18
,8.37,4.05
,5.69,10.66
,9.05,9.05
,11.96,3.64
,10.91,1.46
,12.37,3.23
,3.18,9.51
,3.64,15.95
,5.16,6.83
,9.18,34.37
,9.33,13.26
,7.13,5.5
,12.68,5.15
,10.65,24.72
,9.13,14.32
,8.92,5.32
,4.34,29.03
,11.03,20.55
,3.53,8.81
,4.05,13.62
,6.43,7.51
,5.11,11.03
,9.32,3.61
,34.27,7.84
,11.78,7.48
,22.49,9.97
,16.28,7.48
,5.61,9.13
,1.17,28.99
,8.41,4.2
,8.15,5.89
,6.61,7.58
,6.12,4.34
,7.47,21.03
,4.44,7.92
,10.01,1.66
,12.64,9.62
,9.51,9.28
,6.14,8.36
,8.81,11.13
,12.29,5.57
,2.61,2.2
,12.53,2.37
,5.5,2.72
,5.52,10.62
,6.01,4.92
,5.15,2.66
,3.05,11.72
,19.77,13.75
,47.69,8.21
,1.64,5.16
,20.14,2.86
,10.97,8.25
,16.09,6.43
,8.19,4.39
,9.59,3.53
,5.16,7.52
,7.9,0.24
,25.39,4.62
,39.46,8.93
,14.06,22.02
,16.14,9.45
,4.35,7.38
,19.14,4.57
,1.89,8.14
,7.38,8.04
,8.41,13
,27.21,5.18
,27.15,22.49
,9.05,7.51
,13.72,11.25
,16.38,4.44
,22.7,6.75
,13.75,7.54
,11.72,10.95
,9.82,10.15
,1.79,4.35
,14.32,13.72
,1.06,16.38
,8.77,16.38
,7.57,6.2
,11.65,33.94
,20.55,12.32
,5.89,3.72
,22.92,7.57
,4.25,6.04
,6.71,8.25
,4.92,5.11
,3.48,5.69
,12.53,3.9
,8.58,10.02
,18.83,16.32
,10.02,7.12
,13.35,9.59
,4.62,15.93
,11.17,10.83
,13.85,4.26
,6.65,1.63
,7.42,6.43
,5.02,13.75
,6.72,8.41
,5.5,30.52
,8.25,
,6.18,
,6.77,
,15.92,
,0.69,
,13.07,
,7.52,
,23.64,
,17.45,
,10.03,
,10.83,
,10.34,
,11.07,
,3.48,
,6.49,
,12.81,
,11.13,
,5.15,
,20.17,
,6.66,
,4.2,
