Underweight,Normal weight,Overweight,Obese
8.97,14.85,8.36,29.03
18.58,20.55,2.72,5.32
17.18,13.86,11.13,9.58
7.03,12.17,4.26,20.32
1.93,14.84,7.51,12.41
6.04,6.75,10.62,1.46
5.21,11.82,2.85,20.55
7.73,13.07,13.35,16.28
8.25,8.35,7.34,8.81
35.19,8.41,2.87,13.62
1.38,14.06,7.82,3.61
5.11,1.93,5.16,9.59
3.9,6.43,5.93,7.51
5.02,12.14,2.86,11.03
15.47,27.21,4.39,13.85
10.02,4.77,28.03,7.48
4.25,27.15,10.97,5.83
5.69,2.35,5.57,9.97
7.73,9.05,11.13,7.48
9.33,5.06,3.72,7.84
12.53,22.7,5.6,28.99
12.68,2.09,2.2,10.47
5.11,34.53,17.45,26.22
7.57,30.83,2.37,9.13
6.14,1.22,5.1,17.58
16.32,1.79,7.88,5.89
8.08,11.58,6.8,6.62
7.12,10.34,3.61,9.11
17.45,1.66,16.25,4.2
10.83,8.77,20.14,4.34
6.12,4.6,12.61,7.58
9.59,6,16.12,38.83
15.93,7.57,4.94,6.61
4.44,6.66,3.79,4.94
4.26,18.59,11.15,3.61
1.79,5.37,3.72,2.17
1.63,20.17,2.66,21.03
6.43,4.84,4.84,7.92
13.75,13.12,6.78,1.66
12.37,6.83,11.72,9.05
1.89,6,13.75,7.15
5.56,9.56,6.66,6.72
6.32,11.65,8.25,9.28
11.82,7.33,3.53,29.95
10.91,5.18,6.43,9.62
7.12,7.6,6.18,2.55
8.41,14.24,8.21,5.58
9.51,9.66,7.52,
30.52,12.41,2.68,
,1.89,8.15,
,2.81,9.04,
,6.02,3.84,
,6.71,4.92,
,4.92,0.24,
,3.48,11.07,
,7.58,22.02,
,11.91,4.62,
,6.18,8.93,
,7.25,8.82,
,14.29,8.54,
,2.7,8.14,
,3.72,6.62,
,14.46,34,
,6.08,1.06,
,5.65,0.69,
,5.31,9.45,
,6.66,4.86,
,7.92,15.88,
,15.47,17.28,
,14.09,17.08,
,5.57,1.79,
,2.78,13,
,4.17,3.96,
,7.25,8.09,
,10.39,8.48,
,5.93,4.57,
,13.12,7.9,
,7.05,5.16,
,9.59,14.46,
,8.37,8.04,
,8.48,5.1,
,12.37,7.38,
,12.37,15.92,
,5.41,7.51,
,4.04,11.25,
,3.18,18.56,
,3.64,4.44,
,5.05,33.94,
,5.1,10.15,
,20.17,13.72,
,15.29,16.38,
,12.19,2.35,
,11.91,24.87,
,9.18,12.32,
,6.72,7.18,
,11.16,8.15,
,10.98,22.49,
,7.13,9.05,
,8.82,11.42,
,10.65,28.25,
,5.76,5.01,
,9.32,10.47,
,11.78,4.32,
,4.84,13.78,
,1.17,4.17,
,6.61,6.2,
,7.03,16.38,
,6.77,6.97,
,6.58,7.91,
,2.87,7.18,
,6.8,4.35,
,13.78,4.34,
,4.51,8.91,
,9.53,16.28,
,7.82,6.75,
,8.81,7.54,
,22.15,10.95,
,31.9,6.71,
,17.5,5.18,
,16.25,17.61,
,4.62,18.88,
,12.32,3.72,
,3.48,,
,9.18,,
,10.91,,
,5.93,,
,6.78,,
,20.84,,
,8.78,,
,6.55,,
,11.96,,
,6.61,,
,12.61,,
,25.25,,
,3.06,,
,7.38,,
,23.61,,
,3.38,,
,38.8,,
,8.19,,
,9.69,,
,16.32,,
,5.41,,
,2.45,,
,5.21,,
,10.03,,
,5.21,,
,2.75,,
,22.92,,
,3.36,,
,4.25,,
,24.08,,
,4.51,,
,10.86,,
,6.97,,
,1.17,,
,8.58,,
,34.27,,
,6.77,,
,10.86,,
,10.26,,
,10.62,,
,26.51,,
,25.39,,
,28.99,,
,31.9,,
,19.77,,
,9.28,,
,8.92,,
,5.61,,
,7.88,,
,6.12,,
,3.23,,
,7.47,,
,13.59,,
,11.34,,
,1.81,,
,15.95,,
,28.2,,
,6.34,,
,15.92,,
,5.88,,
,7.54,,
,23.34,,
,14.67,,
,7.52,,
,8.21,,
,13.18,,
,2.32,,
,17.79,,
,9.29,,
,9.82,,
,15.93,,
,1.36,,
,32.09,,
,9.51,,
,2.43,,
,6.12,,
,2.93,,
,3.64,,
,20.81,,
,34.28,,
,7.03,,
,12.53,,
,1.46,,
,15.95,,
,3.72,,
,11.61,,
,3.23,,
,11.15,,
,10.39,,
,6.71,,
,5.61,,
,22.02,,
,3.9,,
,4.28,,
,13.03,,
,7.76,,
,10.66,,
,8.35,,
,9.05,,
,10.62,,
,16.69,,
,4.05,,
,34.27,,
,22.49,,
,10.86,,
,3.55,,
,8.41,,
,0.69,,
,10.01,,
,12.64,,
,12.29,,
,13.26,,
,10.95,,
,13.72,,
,14.32,,
,6.83,,
,24.72,,
,34.37,,
,5.15,,
,9.16,,
,8.93,,
,5.5,,
