Underweight,Normal weight,Overweight,Obese
,14.85,,
8.97,20.55,8.36,29.03
18.58,13.86,2.72,5.32
17.18,12.17,11.13,9.58
7.03,14.84,4.26,20.32
1.93,6.75,7.51,12.41
6.04,11.82,10.62,1.46
5.21,13.07,2.85,20.55
7.73,8.35,13.35,16.28
8.25,8.41,7.34,8.81
35.19,14.06,2.87,13.62
1.38,1.93,7.82,3.61
5.11,6.43,5.16,9.59
3.9,12.14,5.93,7.51
5.02,27.21,2.86,11.03
15.47,4.77,4.39,13.85
10.02,27.15,28.03,7.48
4.25,2.35,10.97,5.83
5.69,9.05,5.57,9.97
7.73,5.06,11.13,7.48
9.33,22.7,3.72,7.84
12.53,2.09,5.6,28.99
12.68,34.53,2.2,10.47
5.11,30.83,17.45,26.22
7.57,1.22,2.37,9.13
6.14,1.79,5.1,17.58
16.32,11.58,7.88,5.89
8.08,10.34,6.8,6.62
7.12,1.66,3.61,9.11
17.45,8.77,16.25,4.2
10.83,4.6,20.14,4.34
6.12,6,12.61,7.58
9.59,7.57,16.12,38.83
15.93,6.66,4.94,6.61
4.44,18.59,3.79,4.94
4.26,5.37,11.15,3.61
1.79,20.17,3.72,2.17
1.63,4.84,2.66,21.03
6.43,13.12,4.84,7.92
13.75,6.83,6.78,1.66
12.37,6,11.72,9.05
1.89,9.56,13.75,7.15
5.56,11.65,6.66,6.72
6.32,7.33,8.25,9.28
11.82,5.18,3.53,29.95
10.91,7.6,6.43,9.62
7.12,14.24,6.18,2.55
8.41,9.66,8.21,5.58
9.51,12.41,7.52,
30.52,1.89,2.68,
,2.81,8.15,
,6.02,9.04,
,6.71,3.84,
,4.92,4.92,
,3.48,0.24,
,7.58,11.07,
,11.91,22.02,
,6.18,4.62,
,7.25,8.93,
,14.29,8.82,
,2.7,8.54,
,3.72,8.14,
,14.46,6.62,
,6.08,34,
,5.65,1.06,
,5.31,0.69,
,6.66,9.45,
,7.92,4.86,
,15.47,15.88,
,14.09,17.28,
,5.57,17.08,
,2.78,1.79,
,4.17,13,
,7.25,3.96,
,10.39,8.09,
,5.93,8.48,
,13.12,4.57,
,7.05,7.9,
,9.59,5.16,
,8.37,14.46,
,8.48,8.04,
,12.37,5.1,
,12.37,7.38,
,5.41,15.92,
,4.04,7.51,
,3.18,11.25,
,3.64,18.56,
,5.05,4.44,
,5.1,33.94,
,20.17,10.15,
,15.29,13.72,
,12.19,16.38,
,11.91,2.35,
,9.18,24.87,
,6.72,12.32,
,11.16,7.18,
,10.98,8.15,
,7.13,22.49,
,8.82,9.05,
,10.65,11.42,
,5.76,28.25,
,9.32,5.01,
,11.78,10.47,
,4.84,4.32,
,1.17,13.78,
,6.61,4.17,
,7.03,6.2,
,6.77,16.38,
,6.58,6.97,
,2.87,7.91,
,6.8,7.18,
,13.78,4.35,
,4.51,4.34,
,9.53,8.91,
,7.82,16.28,
,8.81,6.75,
,22.15,7.54,
,31.9,10.95,
,17.5,6.71,
,16.25,5.18,
,4.62,17.61,
,12.32,18.88,
,3.48,3.72,
,9.18,,
,10.91,,
,5.93,,
,6.78,,
,20.84,,
,8.78,,
,6.55,,
,11.96,,
,6.61,,
,12.61,,
,25.25,,
,3.06,,
,7.38,,
,23.61,,
,3.38,,
,38.8,,
,8.19,,
,9.69,,
,16.32,,
,5.41,,
,2.45,,
,5.21,,
,10.03,,
,5.21,,
,2.75,,
,22.92,,
,3.36,,
,4.25,,
,24.08,,
,4.51,,
,10.86,,
,6.97,,
,1.17,,
,8.58,,
,34.27,,
,6.77,,
,10.86,,
,10.26,,
,10.62,,
,26.51,,
,25.39,,
,28.99,,
,31.9,,
,19.77,,
,9.28,,
,8.92,,
,5.61,,
,7.88,,
,6.12,,
,3.23,,
,7.47,,
,13.59,,
,11.34,,
,1.81,,
,15.95,,
,28.2,,
,6.34,,
,15.92,,
,5.88,,
,7.54,,
,23.34,,
,14.67,,
,7.52,,
,8.21,,
,13.18,,
,2.32,,
,17.79,,
,9.29,,
,9.82,,
,15.93,,
,1.36,,
,32.09,,
,9.51,,
,2.43,,
,6.12,,
,2.93,,
,3.64,,
,20.81,,
,34.28,,
,7.03,,
,12.53,,
,1.46,,
,15.95,,
,3.72,,
,11.61,,
,3.23,,
,11.15,,
,10.39,,
,6.71,,
,5.61,,
,22.02,,
,3.9,,
,4.28,,
,13.03,,
,7.76,,
,10.66,,
,8.35,,
,9.05,,
,10.62,,
,16.69,,
,4.05,,
,34.27,,
,22.49,,
,10.86,,
,3.55,,
,8.41,,
,0.69,,
,10.01,,
,12.64,,
,12.29,,
,13.26,,
,10.95,,
,13.72,,
,14.32,,
,6.83,,
,24.72,,
,34.37,,
,5.15,,
,9.16,,
,8.93,,
,5.5,,
